Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Charlestown - Dudley,12040
Persons Aged 15 Years and Over Place of Work,Glendale - Cardiff - Hillsborough,10231
Persons Aged 15 Years and Over Place of Work,Mount Hutton - Windale,1491
Persons Aged 15 Years and Over Place of Work,Redhead,911
Persons Aged 15 Years and Over Place of Work,Swansea - Caves Beach,1793
Persons Aged 15 Years and Over Place of Work,Valentine - Eleebana,1097
Persons Aged 15 Years and Over Place of Work,Warners Bay - Boolaroo,6213
Persons Aged 15 Years and Over Place of Work,Bolton Point - Teralba,1787
Persons Aged 15 Years and Over Place of Work,Bonnells Bay - Silverwater,843
Persons Aged 15 Years and Over Place of Work,Edgeworth - Cameron Park,2644
Persons Aged 15 Years and Over Place of Work,Morisset - Cooranbong,5986
Persons Aged 15 Years and Over Place of Work,Toronto - Awaba,4166
Persons Aged 15 Years and Over Place of Work,Wangi Wangi - Rathmines,1215
Persons Aged 15 Years and Over Place of Work,West Wallsend - Barnsley - Killingworth,954
Persons Aged 15 Years and Over Place of Work,Adamstown - Kotara,6737
Persons Aged 15 Years and Over Place of Work,Beresfield - Hexham,6763
Persons Aged 15 Years and Over Place of Work,Hamilton - Broadmeadow,11912
Persons Aged 15 Years and Over Place of Work,Lambton - New Lambton,10386
Persons Aged 15 Years and Over Place of Work,Maryland - Fletcher - Minmi,1553
Persons Aged 15 Years and Over Place of Work,Mayfield - Warabrook,8101
Persons Aged 15 Years and Over Place of Work,Merewether - The Junction,3504
Persons Aged 15 Years and Over Place of Work,Newcastle - Cooks Hill,19024
Persons Aged 15 Years and Over Place of Work,Newcastle Port - Kooragang,4085
Persons Aged 15 Years and Over Place of Work,Shortland - Jesmond,7529
Persons Aged 15 Years and Over Place of Work,Stockton - Fullerton Cove,1705
Persons Aged 15 Years and Over Place of Work,Wallsend - Elermore Vale,5548
Persons Aged 15 Years and Over Place of Work,Waratah - North Lambton,5391
Persons Aged 15 Years and Over Place of Work,Wickham - Carrington - Tighes Hill,5681
Persons Aged 15 Years and Over Place of Work,Ballina,8906
Persons Aged 15 Years and Over Place of Work,Ballina Region,4463
Persons Aged 15 Years and Over Place of Work,Bangalow,2054
Persons Aged 15 Years and Over Place of Work,Brunswick Heads - Ocean Shores,1653
Persons Aged 15 Years and Over Place of Work,Byron Bay,6251
Persons Aged 15 Years and Over Place of Work,Evans Head,1233
Persons Aged 15 Years and Over Place of Work,Lennox Head - Skennars Head,1509
Persons Aged 15 Years and Over Place of Work,Mullumbimby,2916
Persons Aged 15 Years and Over Place of Work,Casino,4714
Persons Aged 15 Years and Over Place of Work,Casino Region,1430
Persons Aged 15 Years and Over Place of Work,Goonellabah,2643
Persons Aged 15 Years and Over Place of Work,Kyogle,2257
Persons Aged 15 Years and Over Place of Work,Lismore,14698
Persons Aged 15 Years and Over Place of Work,Lismore Region,2879
Persons Aged 15 Years and Over Place of Work,Kingscliff - Fingal Head,4082
Persons Aged 15 Years and Over Place of Work,Murwillumbah,4769
Persons Aged 15 Years and Over Place of Work,Murwillumbah Region,1748
Persons Aged 15 Years and Over Place of Work,Pottsville,2304
Persons Aged 15 Years and Over Place of Work,Tweed Heads,7043
Persons Aged 15 Years and Over Place of Work,Banora Point,2164
Persons Aged 15 Years and Over Place of Work,Terranora - North Tumblegum,500
Persons Aged 15 Years and Over Place of Work,Tweed Heads South,5558
Persons Aged 15 Years and Over Place of Work,Griffith (NSW),8703
Persons Aged 15 Years and Over Place of Work,Griffith Region,6128
Persons Aged 15 Years and Over Place of Work,Leeton,4244
Persons Aged 15 Years and Over Place of Work,Narrandera,2129
Persons Aged 15 Years and Over Place of Work,Tumbarumba,1463
Persons Aged 15 Years and Over Place of Work,Tumut,3179
Persons Aged 15 Years and Over Place of Work,Tumut Region,1263
Persons Aged 15 Years and Over Place of Work,Cootamundra,2699
