INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood - Warwick,0,4,0,0,0,0,0,0,0,0,0,0,5,31,0,10,5,0,3,0,0,3,3,6,18,0,6,4,0,0,0,0,0,7,49,42,186,0,8,6,0,6,4,0,14,4,24,365,376,4,0,3,313,0,26,0,0,0,0,10,0,0,0,11,58,0,0,3,0,0,0,74,7,21,0,23,34,0,115,15,0,31,44,0,76,0,88,8,351,4,41,10,14,207,60,148,6,0,16,54,8,0,51,127,0,23,4,0,3287
Heathridge - Connolly,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,21,4,117,0,4,3,0,0,5,0,3,0,0,76,26,4,0,111,57,0,22,0,0,0,3,4,0,0,0,0,0,0,0,3,0,0,0,3,0,12,0,0,8,0,56,11,0,9,32,0,10,0,8,7,162,0,13,0,0,13,0,34,0,0,3,17,0,0,16,36,0,13,0,0,957
Hillarys,0,3,0,0,3,0,3,0,3,3,0,7,0,32,0,5,0,0,0,0,0,0,0,6,6,12,13,0,0,0,0,0,0,13,44,7,147,0,6,10,0,8,20,0,40,11,6,373,1044,0,4,21,947,3,3,0,0,0,15,17,7,0,0,3,38,0,3,22,7,3,3,98,17,42,0,16,147,0,174,27,0,47,37,0,175,0,31,9,241,9,49,3,5,163,3,72,0,24,0,57,10,0,50,133,3,31,3,0,4596
Iluka - Burns Beach,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,45,3,107,0,3,7,0,3,0,0,0,0,0,3,13,0,0,3,18,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,6,0,43,14,0,4,8,0,0,0,0,0,0,8,8,0,0,9,3,3,0,0,0,4,0,0,3,16,0,4,0,0,391
Joondalup - Edgewater,0,7,0,0,0,3,11,0,0,0,0,3,54,54,0,23,19,0,24,0,0,6,9,0,20,3,49,38,0,16,0,4,18,10,152,28,464,9,27,23,3,10,89,0,66,63,30,516,2119,5,0,27,832,7,150,8,0,0,0,94,3,4,0,30,35,0,0,34,10,5,0,167,148,87,0,47,212,0,398,37,0,449,125,0,693,3,625,58,502,1794,157,100,1575,834,346,317,0,6,19,281,11,0,177,383,0,89,3,0,14873
Kingsley,0,0,0,0,0,0,3,0,0,0,0,0,3,27,0,4,0,0,5,0,0,0,4,0,0,3,8,0,0,0,0,0,0,5,43,4,127,4,20,5,3,3,4,0,12,0,17,106,91,4,0,7,139,0,20,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,4,7,7,19,0,3,33,0,130,22,0,27,38,0,9,0,5,0,211,7,19,15,5,94,421,102,0,0,3,6,4,0,23,49,0,16,3,0,1976
Mullaloo - Kallaroo,0,5,0,0,3,0,0,0,0,0,0,3,3,16,0,3,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,13,8,3,52,10,139,3,7,6,0,0,8,0,0,0,13,97,50,3,0,29,77,0,9,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,6,7,6,0,5,19,0,110,25,0,28,25,0,13,0,4,3,116,3,17,0,3,82,7,21,0,0,5,6,0,0,19,39,0,22,0,0,1197
Ocean Reef,0,3,0,0,0,3,3,0,0,0,0,4,6,12,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,4,3,0,20,4,87,0,3,3,0,4,8,0,6,0,6,100,39,3,0,6,19,0,22,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,4,6,4,8,0,3,25,0,70,9,0,4,23,0,12,0,25,3,461,5,37,0,0,111,10,36,0,0,5,8,0,0,9,22,0,15,0,0,1322
Padbury,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,26,5,123,0,7,7,0,3,8,0,3,0,8,54,45,4,0,4,97,0,11,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,11,59,0,50,7,0,7,22,0,12,0,7,4,214,3,20,0,3,46,0,59,0,0,6,12,0,0,21,76,0,12,5,0,1110
Sorrento - Marmion,0,3,0,0,5,0,4,0,0,0,0,6,8,0,0,3,0,0,3,0,0,0,0,0,0,0,11,6,0,3,0,0,7,4,52,0,93,0,5,3,0,5,6,0,7,3,5,69,49,0,0,27,144,0,13,0,0,3,0,4,0,0,0,8,3,3,0,0,0,0,3,7,4,21,0,3,42,0,143,21,0,18,21,0,4,0,4,3,251,7,11,0,0,90,3,9,0,0,5,11,0,0,8,43,0,18,0,0,1330
Woodvale,0,3,0,0,0,0,0,0,0,3,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,21,6,66,4,3,7,0,6,7,0,8,0,5,215,77,3,0,3,145,0,12,3,0,0,0,12,0,0,0,5,0,0,0,3,0,0,0,18,3,17,0,8,38,0,75,11,0,17,23,0,41,0,7,3,292,7,14,3,3,101,5,37,0,0,8,0,0,0,26,87,0,5,0,0,1536
Balcatta - Hamersley,0,26,0,0,0,0,41,0,7,39,3,55,152,272,7,57,58,59,77,0,145,33,40,72,67,62,502,106,0,176,3,352,20,40,732,75,749,81,170,343,15,271,176,26,47,134,22,133,732,22,3,29,361,7,118,0,0,0,0,14,0,31,6,41,3,0,0,29,0,0,11,231,39,117,0,33,50,3,804,207,0,337,170,0,195,0,49,8,307,84,64,23,10,160,227,120,0,6,11,26,8,0,314,203,0,157,0,0,10825
Balga - Mirrabooka,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,3,36,4,97,0,6,0,0,3,3,0,3,0,4,109,51,0,0,4,61,0,53,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,7,0,29,9,0,24,42,0,36,0,6,13,619,199,41,3,3,24,26,60,0,0,3,24,0,0,16,33,0,13,0,0,1746
Dianella,0,3,0,0,0,0,3,0,0,0,0,4,3,20,0,22,3,0,0,0,0,0,11,3,3,0,21,9,0,0,0,0,3,4,89,14,167,6,6,10,3,19,29,0,32,30,24,437,506,4,0,7,302,0,47,0,0,0,0,18,0,0,4,8,8,307,0,16,3,3,5,75,0,18,0,11,194,0,189,37,0,79,74,0,224,0,206,16,573,11,62,21,14,187,125,182,0,0,11,34,15,0,65,134,0,46,3,0,4871
Herdsman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Innaloo - Doubleview,0,0,0,0,0,0,5,0,0,0,0,0,11,27,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,7,45,4,110,4,7,3,0,12,22,0,18,19,17,390,754,7,0,11,499,0,16,0,0,0,0,14,0,3,0,3,27,0,0,12,0,0,3,103,12,30,0,14,67,0,188,74,0,41,40,0,91,0,4,5,111,6,17,5,0,146,177,78,0,0,6,52,15,0,37,117,0,20,3,0,3523
Karrinyup - Gwelup - Carine,0,14,0,0,0,4,5,0,3,5,0,6,4,23,0,16,0,0,7,0,0,0,0,0,0,3,4,5,0,3,0,3,4,5,60,3,171,5,4,10,0,5,32,0,35,0,12,373,1139,4,0,22,327,7,181,4,0,3,0,75,0,3,0,3,7,4,0,23,0,3,3,59,23,28,0,4,53,0,226,28,0,31,71,0,39,0,7,8,620,22,49,13,4,220,179,86,0,0,16,29,13,0,23,147,0,40,3,0,4685
Nollamara - Westminster,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,3,0,0,0,0,0,0,3,0,0,3,21,0,0,0,0,0,0,0,31,0,78,3,0,3,0,0,4,0,9,3,7,155,142,3,0,3,59,0,31,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,12,17,3,9,21,0,50,21,0,5,30,0,11,0,9,0,232,3,15,8,0,117,52,96,0,0,3,5,0,0,19,50,0,14,3,0,1418
Osborne Park Industrial,0,138,0,8,16,7,36,5,12,83,0,195,247,357,126,116,76,30,200,0,23,110,86,84,149,49,413,120,0,21,0,10,14,45,1876,324,1083,144,353,660,115,259,429,0,95,611,14,36,1901,4,0,13,260,3,137,5,0,3,0,113,37,28,4,979,5,27,3,97,17,3,24,237,85,306,0,148,94,7,1264,508,0,392,225,5,960,9,291,33,28,229,223,58,170,505,444,508,0,5,11,58,463,0,816,206,0,209,7,0,20977
Scarborough,0,0,0,0,0,0,0,0,0,13,0,9,3,6,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,45,0,122,3,0,8,0,3,21,0,9,7,14,89,92,6,0,199,227,3,8,0,0,0,0,13,0,0,0,3,6,3,0,3,0,0,0,7,6,16,0,17,127,0,119,66,0,24,33,0,31,0,28,3,58,8,29,0,3,100,6,68,0,0,20,14,3,0,22,88,3,32,0,0,1862
Stirling - Osborne Park,0,3,0,0,0,0,7,0,0,16,0,18,83,433,8,26,16,6,37,0,3,28,10,4,12,8,119,60,0,3,3,11,4,13,327,20,417,11,24,63,13,89,34,4,26,133,7,117,307,3,0,9,133,0,33,0,3,0,0,7,3,10,0,16,7,0,0,21,0,0,10,28,41,164,0,32,105,3,566,152,0,123,288,0,602,0,43,8,86,8,26,33,527,235,60,111,0,4,0,12,12,0,189,101,0,74,3,0,6457
Trigg - North Beach - Watermans Bay,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,50,8,87,0,7,0,0,0,11,0,8,0,0,40,41,0,0,7,199,0,4,0,0,0,0,6,4,0,0,0,3,4,0,4,0,0,0,5,6,13,0,9,68,4,131,14,0,6,41,0,3,0,7,0,96,4,33,0,3,59,5,23,0,0,3,15,0,0,3,67,3,17,0,0,1140
Tuart Hill - Joondanna,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,19,0,56,0,0,4,0,3,0,0,3,0,4,28,52,0,0,4,195,0,20,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,20,3,17,0,13,33,0,74,29,0,14,18,0,29,0,9,3,334,11,22,3,3,50,60,51,0,0,4,5,0,0,10,47,0,13,0,0,1328
Wembley Downs - Churchlands - Woodlands,0,0,0,0,0,3,0,0,0,0,0,6,0,27,0,4,0,0,0,0,0,0,5,0,4,3,3,3,0,0,0,0,0,0,47,3,89,3,0,3,0,12,9,0,4,0,0,238,61,0,0,3,148,0,12,0,4,0,0,3,0,0,0,3,87,0,0,3,0,0,4,6,3,19,0,4,31,0,136,19,0,27,22,0,15,0,12,7,825,8,91,3,0,116,13,67,0,0,6,18,0,0,8,53,4,15,0,0,2342
Yokine - Coolbinia - Menora,0,3,0,0,0,0,8,0,0,0,0,3,3,20,0,8,0,0,0,0,4,0,0,0,0,5,4,3,0,0,0,0,0,0,67,3,106,3,7,6,9,11,6,0,6,4,13,251,104,3,0,5,145,0,36,0,0,0,0,12,0,0,0,3,0,12,0,3,0,0,0,25,3,14,0,6,42,0,114,16,3,17,40,0,19,0,0,4,231,12,23,25,3,368,356,140,0,0,15,21,3,0,18,84,0,21,3,0,2502
Alexander Heights - Koondoola,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,3,0,14,0,63,0,5,0,0,0,6,0,3,0,10,140,45,0,0,0,86,3,32,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,8,18,0,27,4,0,14,19,0,17,0,0,3,341,0,14,3,4,59,28,31,0,0,3,0,0,0,14,27,0,3,3,0,1094
Butler - Merriwa - Ridgewood,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,3,0,0,11,3,3,0,0,0,0,0,0,35,5,154,0,3,0,0,4,8,0,7,0,16,136,40,0,0,0,91,3,27,4,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,16,3,4,0,5,24,0,67,9,0,19,50,0,15,35,20,0,401,3,45,7,0,57,102,90,0,0,6,0,4,0,16,53,0,18,0,0,1659
Carramar,0,39,0,0,0,0,5,0,0,7,3,20,31,12,0,3,112,0,0,3,0,75,23,24,9,5,13,6,0,9,0,0,24,9,48,14,204,3,22,0,0,8,10,3,3,0,11,124,63,3,0,3,77,0,35,0,3,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,3,9,0,11,7,0,60,10,0,9,23,0,3,0,5,3,163,4,19,0,0,18,0,44,0,0,4,29,0,0,47,33,0,15,0,0,1602
Clarkson,0,0,0,0,3,0,0,0,0,0,0,0,3,13,0,3,3,0,0,0,0,3,0,0,0,0,10,3,0,0,0,0,9,0,42,3,98,3,7,3,3,0,0,0,16,72,14,244,454,3,3,3,202,0,16,0,0,0,0,22,0,0,0,0,3,0,0,3,3,5,0,48,4,6,0,10,68,0,65,10,0,25,25,0,44,0,45,4,285,21,21,7,7,99,3,74,0,0,3,24,3,0,56,93,0,13,0,0,2365
Girrawheen,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,28,0,0,0,0,0,5,0,4,0,6,103,63,0,0,0,50,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,6,4,0,23,3,0,11,13,0,27,0,9,3,288,0,10,3,3,33,41,59,0,0,0,0,3,0,6,34,0,3,0,0,924
Madeley - Darch - Landsdale,3,45,0,3,0,3,37,0,8,18,10,221,555,149,13,85,267,22,35,0,95,128,284,379,785,136,406,388,0,17,11,5,34,58,667,208,1759,89,272,212,75,174,179,4,77,595,19,280,571,9,0,18,358,14,396,3,0,3,0,133,3,27,3,4,3,3,0,40,0,0,7,31,19,32,0,106,108,0,438,45,0,91,114,0,43,0,81,11,464,14,88,3,0,123,112,134,0,0,16,49,3,0,734,148,0,201,5,0,13636
Marangaroo,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,59,0,3,0,0,3,3,0,3,0,0,3,26,0,0,3,36,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,20,10,0,3,22,0,0,0,3,3,112,0,5,0,0,41,190,59,0,0,0,8,0,0,16,19,0,0,0,0,770
Mindarie - Quinns Rocks - Jindalee,0,0,0,0,4,0,0,0,0,9,0,0,8,10,5,3,0,0,0,0,0,0,3,0,0,3,3,4,0,4,0,0,10,3,101,4,241,3,15,6,0,0,12,0,12,0,11,103,83,4,0,19,339,0,25,0,0,0,0,3,3,0,0,9,0,0,0,3,0,0,3,12,5,18,0,30,45,0,118,31,0,16,44,0,17,0,4,3,520,0,31,7,4,131,81,101,0,0,8,7,4,0,29,57,0,25,0,0,2434
Neerabup National Park,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100
Tapping - Ashby - Sinagra,0,94,0,0,0,3,0,0,0,0,0,0,6,8,3,5,0,0,0,0,0,3,0,0,3,0,0,5,0,5,0,3,4,0,50,8,183,5,34,3,0,14,13,0,3,0,0,9,22,9,0,0,6,0,26,0,0,0,3,0,0,0,0,0,6,3,0,0,0,0,0,0,3,0,0,3,3,0,51,11,0,4,46,0,145,0,7,7,268,3,20,0,0,5,4,68,0,6,3,5,0,0,22,53,0,17,0,0,1300
Wanneroo,0,236,0,8,0,10,5,0,0,9,8,9,13,76,0,14,12,0,3,0,0,11,19,9,3,7,10,3,0,4,0,0,11,12,94,28,332,3,61,5,3,82,12,0,16,29,37,327,280,4,0,14,329,3,80,0,0,0,0,15,4,0,0,3,4,3,0,10,0,3,3,47,6,20,0,27,45,0,137,26,0,48,85,0,528,0,59,5,330,3,38,19,7,104,198,111,0,6,6,42,8,0,56,111,0,46,3,0,4405
Yanchep,0,171,0,3,14,5,3,0,0,0,12,0,7,18,0,0,0,0,0,0,0,0,12,3,3,0,0,3,0,6,0,0,3,3,40,14,187,0,182,0,0,21,3,0,3,0,8,45,51,0,0,34,75,0,9,3,0,0,0,7,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,24,0,37,6,0,13,52,0,33,0,9,6,122,0,12,8,8,8,107,30,0,13,0,10,0,0,17,22,0,28,3,0,1541
Armadale - Wungong - Brookdale,0,20,0,0,0,3,0,0,0,0,0,3,69,36,0,8,51,0,3,0,0,6,60,22,20,13,14,47,0,3,0,0,6,4,70,14,294,0,38,17,3,3,4,0,19,16,21,408,685,3,0,11,429,3,60,4,0,0,0,10,0,0,0,7,25,0,0,15,3,3,0,70,9,4,0,11,75,0,70,4,0,49,51,0,403,0,120,7,512,45,29,3,10,120,208,208,0,6,8,14,4,0,45,116,0,30,0,0,4808
Ashendon - Lesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camillo - Champion Lakes,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,5,31,0,0,0,0,0,4,0,3,0,0,9,10,0,0,3,18,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,4,0,4,12,0,3,0,0,4,174,4,8,0,0,10,25,12,0,0,3,6,0,0,8,7,0,0,0,0,478
Forrestdale - Harrisdale - Piara Waters,0,62,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,3,5,29,4,110,3,32,3,0,3,0,0,3,0,3,16,21,3,0,3,32,0,41,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,39,12,0,10,16,0,3,0,5,3,186,3,33,0,3,6,0,14,0,0,0,9,0,0,10,21,0,17,0,0,819
Kelmscott,0,11,0,0,0,3,9,0,0,0,4,0,71,38,0,27,53,0,0,5,13,7,6,63,65,19,33,26,0,0,0,44,30,3,54,27,150,3,61,15,15,14,14,0,20,41,23,207,233,3,0,13,245,10,105,0,0,0,3,84,0,4,0,39,0,0,0,4,0,0,0,9,0,18,0,39,87,0,104,13,0,9,75,0,89,0,8,7,298,3,29,21,25,148,107,101,0,0,5,29,3,0,155,65,0,42,0,0,3424
Mount Nasura - Mount Richon - Bedfordale,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,0,0,3,0,0,0,19,8,88,6,0,0,0,0,7,0,0,0,11,0,11,0,0,5,46,0,21,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,6,0,0,14,0,40,3,0,15,20,0,52,0,3,0,106,3,7,35,888,182,10,83,0,0,12,0,0,0,18,9,0,3,0,0,1822
Roleystone,0,121,0,0,0,7,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,3,3,0,3,0,3,3,0,0,0,6,0,7,24,5,98,0,8,0,0,17,8,0,6,0,12,87,37,5,0,8,42,0,25,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,8,8,6,0,3,24,0,79,11,0,3,22,0,0,0,4,3,85,3,11,3,0,25,3,18,0,22,6,16,0,0,24,26,0,6,3,0,992
Seville Grove,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,51,0,0,0,0,0,0,0,0,0,11,85,26,0,0,0,27,0,12,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,8,0,18,0,0,3,13,0,15,0,3,0,159,0,3,0,0,11,0,59,0,0,0,3,0,0,11,17,0,4,0,0,596
Belmont - Ascot - Redcliffe,0,16,0,0,0,3,76,6,3,197,61,393,147,69,19,52,22,20,27,0,94,56,82,35,47,95,377,56,0,26,3,9,47,50,451,290,448,88,168,583,330,40,343,0,54,126,19,126,535,3,3,160,351,17,326,19,3,236,3,226,120,41,0,20,8,5,0,39,7,7,0,25,34,40,0,358,55,0,615,212,0,319,157,0,152,3,397,16,177,74,40,20,3,680,195,132,3,0,12,322,37,0,456,260,0,156,3,0,12236
East Victoria Park - Carlisle,0,11,0,0,0,0,11,0,3,3,0,24,59,55,3,16,13,13,13,0,0,6,33,19,13,24,36,20,0,7,0,6,0,4,88,36,223,20,39,41,6,24,66,0,27,131,11,231,276,3,0,14,396,3,45,0,0,0,0,22,5,6,0,3,4,0,0,20,0,14,5,56,12,42,0,22,99,3,315,54,0,107,79,0,118,0,39,15,225,132,69,20,0,134,238,164,0,4,14,40,3,0,149,111,0,60,3,0,4477
Kewdale Commercial,0,3,0,4,0,0,32,5,5,3,3,120,157,74,349,33,26,35,20,8,77,190,68,233,173,133,440,58,0,239,4,8,5,7,125,187,238,53,193,210,236,136,315,3,36,111,27,200,112,14,0,4,102,16,975,156,11,10,20,91,211,73,3,0,0,0,0,171,7,0,0,67,0,0,0,66,31,0,147,21,0,137,40,0,0,0,4,6,0,4,5,0,0,27,0,40,0,0,0,0,0,0,236,0,0,107,0,0,7498
Perth Airport,0,0,0,0,0,0,31,3,24,383,5,311,15,7,0,0,9,0,0,0,0,3,0,15,8,96,226,48,0,33,7,29,0,5,33,29,43,24,21,150,157,26,28,29,30,3,9,689,202,0,0,5,597,23,472,4,0,2283,4,765,1010,149,0,3,0,0,0,11,0,0,0,9,4,32,0,122,3,0,391,3,0,136,73,0,224,0,641,0,3,3,28,3,0,11,8,8,0,0,0,0,0,0,142,19,0,75,5,0,10003
Rivervale - Kewdale - Cloverdale,0,9,0,0,0,0,11,0,7,16,0,46,53,44,5,14,7,8,39,0,10,33,8,19,90,7,54,24,0,3,0,3,3,5,131,11,367,33,38,120,23,8,25,0,40,18,14,375,556,0,0,116,359,3,123,3,0,22,0,54,35,6,0,4,35,0,0,19,0,3,4,76,26,29,0,16,93,0,235,39,0,129,80,0,212,0,118,9,467,21,39,22,6,160,231,125,0,0,12,31,47,0,76,149,3,70,4,0,5616
Victoria Park - Lathlain - Burswood,0,0,0,0,4,0,25,0,7,14,7,44,29,28,0,17,3,4,49,0,0,14,33,10,7,4,14,24,0,3,5,0,6,27,166,509,382,20,16,80,43,22,34,7,24,479,33,183,352,5,0,427,547,0,178,0,0,0,5,15,109,3,0,41,20,4,0,31,6,5,14,136,87,184,0,39,161,0,719,155,0,534,105,0,290,0,64,21,325,54,62,11,7,193,115,340,19,16,57,65,2427,0,183,206,0,112,4,0,10829
Bentley - Wilson - St James,0,7,0,0,0,3,4,0,3,14,15,71,33,261,9,10,15,0,19,9,450,18,41,12,6,27,60,21,3,453,6,0,5,19,46,61,163,20,46,63,55,27,48,0,28,149,23,180,222,0,0,29,217,0,59,0,0,0,0,69,8,9,0,4,3,8,0,14,21,4,0,16,14,17,0,8,47,0,411,343,0,89,113,0,198,0,107,47,274,3902,59,87,555,320,659,325,0,7,15,65,8,0,148,344,0,97,3,0,11445
Canning Vale - West,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,16,0,76,6,3,8,0,3,3,0,7,0,20,177,161,0,0,3,153,0,15,0,0,0,3,25,0,0,0,0,3,0,0,3,0,0,0,17,12,6,0,5,39,3,77,9,0,9,24,0,9,0,33,4,196,3,18,7,0,40,3,38,0,0,3,0,3,0,20,97,0,9,0,0,1410
