INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Hutton - Windale,0,0,0,0,0,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,5,24,3,83,0,0,0,0,0,0,0,13,0,8,231,206,0,0,3,116,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,5,9,0,0,21,0,43,6,0,18,41,0,10,0,24,4,108,0,7,3,20,49,143,123,0,0,0,3,3,0,8,31,0,29,11,0,1491
Redhead,0,3,0,0,0,0,4,29,0,0,0,10,11,3,0,0,3,0,0,0,4,8,12,10,11,12,13,5,0,6,0,3,3,5,23,49,114,0,6,0,0,0,0,0,0,0,0,11,27,0,0,9,41,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,12,3,0,40,4,0,15,18,0,3,0,8,0,36,6,8,8,0,21,106,43,0,0,0,5,0,0,40,15,0,45,14,0,911
Swansea - Caves Beach,0,3,0,0,3,0,6,0,0,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,11,45,17,123,0,0,3,0,0,3,0,3,3,3,191,70,0,0,62,291,5,9,3,0,0,0,12,0,0,0,3,3,0,0,3,0,0,5,12,5,23,0,0,40,0,93,10,0,32,29,0,34,0,9,5,162,6,17,8,0,87,88,49,0,0,0,10,4,0,34,47,4,32,15,0,1793
Valentine - Eleebana,0,4,0,0,0,6,0,6,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,39,6,141,6,0,3,0,0,0,0,0,6,5,18,37,3,0,0,38,0,14,0,0,0,0,4,0,0,0,5,4,0,0,0,0,0,0,4,11,3,0,4,21,0,101,18,0,15,32,0,7,0,3,3,127,0,42,0,3,68,41,89,0,0,6,6,0,0,12,47,0,33,12,0,1097
Warners Bay - Boolaroo,0,5,0,0,0,0,3,24,0,0,0,5,34,41,0,19,20,0,11,0,0,5,6,39,67,13,24,11,0,0,0,3,16,21,101,43,276,4,55,25,0,41,40,0,17,46,10,177,540,0,0,26,634,3,34,0,0,0,0,41,23,9,0,7,6,0,0,9,4,6,5,46,43,68,0,18,103,0,293,37,0,65,60,0,886,0,50,10,308,8,85,14,228,366,25,187,0,16,11,168,0,0,173,156,0,171,55,0,6213
Bolton Point - Teralba,0,0,0,0,0,0,7,48,0,0,6,16,0,3,0,0,0,0,9,0,0,0,56,0,9,17,4,6,0,0,0,0,0,15,29,28,142,0,20,0,0,0,0,0,6,4,0,44,18,9,0,4,49,4,33,4,0,0,0,3,13,7,0,5,0,0,0,0,0,0,0,0,0,0,0,6,3,0,109,10,0,10,35,0,23,0,4,0,305,4,10,3,0,27,396,105,0,7,0,0,0,0,30,24,0,30,25,0,1787
Bonnells Bay - Silverwater,0,4,0,0,0,0,0,5,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,27,12,110,0,3,0,0,0,5,0,4,3,4,63,28,0,0,11,31,4,14,0,0,0,0,6,0,4,0,6,0,0,0,9,0,0,0,0,3,3,0,5,3,0,50,15,0,19,25,0,8,0,5,0,49,4,12,0,9,48,74,33,0,0,5,10,0,0,14,24,0,32,10,0,843
Edgeworth - Cameron Park,0,3,0,0,0,4,6,13,0,0,0,0,25,13,0,0,38,0,0,0,0,0,4,15,35,4,83,0,0,16,0,0,49,12,53,16,156,0,8,11,7,5,20,0,4,15,14,125,57,5,6,0,138,5,168,4,0,0,0,115,8,3,0,0,3,0,0,6,0,0,0,137,3,10,0,9,33,0,112,12,0,12,62,0,49,0,9,0,136,0,16,4,0,60,275,204,0,0,9,16,3,0,48,32,0,89,30,0,2644
Morisset - Cooranbong,3,90,0,5,3,7,3,418,0,0,6,6,27,276,0,5,23,0,5,0,21,4,16,9,18,17,11,31,0,333,5,3,15,28,126,58,350,3,78,11,7,3,9,0,22,34,35,210,300,6,0,20,314,6,103,8,0,4,0,32,3,18,0,3,0,4,0,15,0,0,5,27,8,14,4,15,67,0,138,16,0,45,79,0,78,0,75,10,335,229,46,17,180,264,412,184,3,4,7,43,0,0,109,107,0,204,77,0,5986
Toronto - Awaba,0,4,0,0,0,0,0,91,0,0,0,5,14,36,0,4,9,0,3,0,0,25,9,4,9,14,22,12,0,3,0,0,3,19,97,35,239,0,13,12,0,10,8,0,13,20,15,246,232,3,4,20,358,10,86,3,0,9,0,21,0,5,0,0,0,0,0,3,6,3,0,42,25,26,0,11,80,0,162,13,0,68,39,0,80,0,32,8,397,10,34,23,179,261,316,205,0,0,8,33,0,0,71,108,0,114,49,0,4166
Wangi Wangi - Rathmines,0,0,0,0,0,0,12,216,0,0,0,5,14,14,0,4,5,4,0,0,3,0,0,16,6,7,28,0,0,0,0,0,0,3,38,9,95,0,3,5,3,0,4,0,0,6,11,40,31,0,0,9,104,6,27,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,7,26,0,60,4,0,9,18,0,0,0,3,0,92,47,11,0,3,32,4,23,0,0,5,3,0,0,26,29,0,37,11,0,1215
West Wallsend - Barnsley - Killingworth,0,0,0,0,0,0,3,64,0,0,0,0,4,4,0,6,0,0,0,0,3,0,0,0,6,3,7,0,0,5,0,0,0,5,42,7,86,0,0,0,0,0,4,0,0,9,0,20,17,0,0,0,47,0,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,6,3,0,38,3,0,7,28,0,32,0,17,0,197,0,12,0,0,28,14,66,0,0,0,0,0,0,20,12,0,34,12,0,954
Adamstown - Kotara,0,0,0,0,3,7,0,3,0,0,0,5,15,40,3,11,15,0,3,0,3,0,7,11,9,4,8,11,0,0,0,3,0,3,119,9,185,5,23,38,12,65,45,3,46,46,11,344,1781,0,0,33,750,7,40,0,0,0,0,21,4,18,0,5,44,3,0,25,15,0,0,52,43,50,0,17,46,0,253,48,0,72,52,0,270,95,18,3,471,4,72,14,16,506,22,145,4,0,15,33,4,0,128,219,0,132,53,0,6737
Beresfield - Hexham,4,456,0,0,5,4,55,134,0,9,5,50,96,792,5,21,75,14,30,0,6,13,25,126,63,56,196,0,0,19,5,18,20,95,275,188,430,11,56,169,124,36,45,17,24,119,41,53,85,4,0,3,247,28,310,37,4,4,5,92,73,15,3,54,0,12,0,32,4,0,0,15,0,15,0,109,11,0,183,10,0,76,75,0,16,0,109,4,236,9,14,6,13,47,19,74,0,0,0,16,4,0,274,51,0,295,68,0,6763
Hamilton - Broadmeadow,0,5,0,0,0,7,3,36,0,0,0,3,25,34,6,28,11,5,13,0,4,18,11,26,12,186,37,11,0,0,0,4,7,27,174,151,332,12,73,112,35,35,19,0,47,343,20,123,512,6,8,48,896,16,154,550,6,0,0,26,19,10,6,14,12,51,0,98,19,0,9,684,176,119,0,27,159,4,960,210,0,206,120,0,553,3,131,25,643,162,162,30,29,826,127,780,5,3,68,246,47,0,226,335,4,298,107,0,11912
Lambton - New Lambton,0,3,0,0,0,4,10,8,0,0,0,0,32,28,0,0,6,0,3,0,0,9,0,20,26,12,66,28,0,9,0,3,4,32,117,25,212,4,45,41,9,6,6,0,7,13,16,107,252,0,0,75,673,4,21,54,0,0,0,14,4,3,0,9,0,5,0,30,6,0,0,39,36,30,3,21,58,0,303,53,0,117,54,0,184,8,53,15,379,91,54,58,4668,1011,92,361,4,0,21,32,22,0,103,167,0,168,90,0,10386
Maryland - Fletcher - Minmi,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,19,0,0,0,0,0,0,4,14,20,0,8,6,0,0,0,0,0,9,40,15,118,0,10,46,3,15,0,0,4,0,0,169,75,3,0,0,70,0,81,5,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,10,8,16,0,0,10,0,56,9,0,10,42,0,10,0,12,0,223,0,9,9,0,56,14,132,0,0,6,4,0,0,35,34,0,54,16,0,1553
Mayfield - Warabrook,0,0,0,0,0,0,37,107,0,18,3,38,60,21,28,16,7,0,67,6,3,5,5,415,230,21,51,13,0,9,3,22,17,28,87,78,349,9,42,93,10,14,16,0,10,34,45,298,198,0,0,62,547,14,72,73,3,14,0,494,27,23,3,4,9,3,0,51,6,0,0,38,8,33,0,39,56,0,981,66,0,133,88,0,130,6,200,14,296,83,35,13,8,145,385,507,5,0,25,126,12,0,202,195,0,253,91,0,8101
Merewether - The Junction,0,5,0,0,0,0,0,0,0,4,0,0,0,10,0,4,0,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,3,12,92,5,134,0,0,9,0,11,6,0,12,3,9,167,145,11,0,56,495,0,9,0,0,0,0,17,11,0,0,4,5,0,0,4,3,0,0,31,27,68,0,0,143,0,317,29,0,89,34,0,40,0,26,5,247,4,27,13,281,323,67,102,0,3,14,36,0,0,49,141,6,81,31,0,3504
Newcastle - Cooks Hill,0,5,0,0,0,4,8,226,3,7,0,7,7,37,15,12,0,0,14,0,0,0,5,7,3,11,13,4,3,8,0,377,9,34,321,120,332,4,10,13,3,5,82,0,42,19,6,506,524,0,3,345,1618,29,117,125,31,17,13,16,217,4,12,94,38,122,3,253,29,3,11,789,1186,338,0,21,359,5,2369,200,3,514,148,27,2492,30,675,26,401,128,150,79,352,847,133,674,4,26,36,119,5,3,70,367,3,329,188,0,19024
Newcastle Port - Kooragang,0,4,0,0,0,3,10,81,0,9,5,8,88,67,0,6,0,0,0,54,215,4,22,541,276,57,61,19,0,0,6,0,117,24,39,157,87,0,136,9,0,3,0,0,0,0,7,0,11,0,0,0,15,18,290,448,10,0,0,17,512,44,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,38,10,0,44,52,0,32,14,41,0,37,0,0,4,0,18,0,14,0,3,0,0,0,0,24,0,0,139,39,0,4085
Shortland - Jesmond,0,36,0,0,0,3,8,8,0,3,0,0,32,63,0,0,0,0,6,0,32,4,47,6,5,6,53,5,0,100,0,4,5,13,38,65,224,5,23,42,37,166,0,0,7,11,21,259,258,0,0,22,387,20,168,55,0,3,5,33,24,4,0,0,0,31,0,7,0,0,0,25,14,19,0,3,32,0,108,23,0,42,110,0,32,0,64,14,292,3127,31,11,234,118,228,143,0,10,3,63,4,3,99,99,0,151,66,0,7529
Stockton - Fullerton Cove,0,0,0,0,6,0,0,4,0,0,0,0,5,7,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,41,10,89,0,4,0,0,0,0,0,5,0,0,39,34,0,0,18,122,3,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,0,0,15,0,43,7,0,27,31,0,141,0,6,0,54,9,10,38,55,71,365,259,0,0,0,11,0,0,7,49,0,20,18,0,1705
Wallsend - Elermore Vale,0,3,0,0,0,0,0,4,0,0,3,4,0,28,0,0,8,0,0,0,0,0,8,14,19,4,28,0,4,763,0,3,5,15,57,336,221,0,16,8,3,3,5,0,9,5,28,184,245,0,0,21,456,6,49,0,0,0,4,16,7,0,0,4,0,0,0,7,3,5,0,77,17,13,0,8,72,0,180,61,0,101,82,0,328,0,30,9,332,17,41,21,230,227,383,242,0,0,17,24,4,0,53,169,6,110,57,0,5548
Waratah - North Lambton,0,5,0,0,0,4,0,3,0,0,0,5,6,35,0,0,0,0,0,0,0,5,0,32,17,4,11,0,0,43,0,23,9,9,70,33,175,3,5,5,4,6,0,0,5,8,0,173,204,0,0,12,157,6,45,11,0,0,0,7,4,0,3,5,4,0,0,6,0,0,0,12,9,5,0,19,19,0,129,8,0,49,66,0,209,0,166,3,451,58,12,38,1640,264,570,215,0,0,9,0,0,0,63,78,0,86,39,0,5391
Wickham - Carrington - Tighes Hill,0,8,0,0,17,0,10,16,3,0,3,5,72,23,3,13,4,0,11,24,9,5,3,31,29,70,48,16,0,22,0,0,24,16,141,93,356,28,77,108,27,14,40,6,30,250,17,45,134,4,0,19,259,14,98,64,3,0,4,12,65,25,0,4,11,0,0,19,13,0,0,43,23,46,0,29,73,4,359,155,0,154,84,0,35,7,41,25,90,680,27,14,0,123,15,396,0,8,20,56,3,0,243,158,0,245,58,0,5681
Ballina,4,17,0,0,19,6,0,0,0,0,3,4,47,81,0,19,26,0,14,0,37,6,26,18,22,85,22,22,0,51,5,21,10,43,141,60,402,0,35,25,4,26,25,0,28,113,19,480,833,7,3,164,697,14,151,0,4,15,0,55,54,12,0,5,10,3,0,32,3,6,3,112,21,63,0,31,138,0,365,29,0,108,124,6,439,0,146,13,636,59,59,52,276,431,591,399,0,6,11,61,8,0,166,184,0,211,113,0,8906
Ballina Region,11,682,0,0,7,42,5,5,0,6,26,0,21,108,4,28,13,0,0,0,5,15,4,10,10,21,9,11,0,8,0,9,15,19,69,35,235,6,70,3,0,24,22,0,12,5,22,102,104,5,0,66,201,11,99,0,0,3,0,34,0,7,0,6,0,0,0,16,3,0,0,15,12,38,0,7,67,0,235,46,0,39,71,0,120,0,16,3,311,141,42,11,10,182,208,240,5,33,24,12,0,0,70,64,3,143,52,0,4463
Bangalow,3,215,0,4,4,7,0,0,0,0,0,0,3,38,0,4,5,0,9,0,0,11,4,3,0,0,0,11,0,21,0,0,25,0,77,8,110,0,3,0,0,6,3,0,19,3,8,47,76,3,3,55,140,0,26,0,0,0,0,14,4,3,0,9,13,0,0,0,0,0,0,10,3,12,0,4,44,0,164,13,0,33,37,4,11,0,9,3,111,8,49,9,64,113,72,60,0,8,39,4,0,0,11,44,0,76,27,0,2054
Brunswick Heads - Ocean Shores,0,28,4,0,0,4,0,0,0,0,0,0,5,18,0,11,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,6,52,4,100,3,0,0,9,4,3,0,13,4,15,115,84,0,0,47,196,0,7,0,0,0,0,5,0,0,0,8,4,0,0,0,0,3,0,8,3,5,0,10,49,0,104,19,0,38,39,0,23,0,13,0,86,0,33,10,0,115,14,77,0,0,27,26,0,0,21,52,0,50,21,0,1653
Byron Bay,0,43,0,0,0,6,0,0,0,0,0,0,17,145,39,52,10,0,17,0,9,3,13,13,11,0,10,33,0,8,0,8,10,15,162,11,183,10,29,21,0,64,51,0,33,8,31,303,482,5,16,531,680,19,90,3,0,4,16,36,22,14,3,25,12,5,0,3,0,4,0,53,17,45,0,29,130,4,327,54,0,166,124,0,114,0,57,20,266,51,105,17,93,253,125,117,6,16,67,43,0,0,83,129,7,310,93,0,6251
Evans Head,3,57,0,3,10,0,0,0,0,0,3,0,8,124,0,0,7,3,0,0,6,0,6,0,6,0,0,6,0,14,0,0,0,9,9,22,42,0,0,0,0,6,0,0,0,0,12,64,41,3,0,29,164,4,49,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,0,35,0,0,4,20,0,35,3,3,4,133,5,7,0,9,42,6,33,0,0,0,11,0,0,14,34,0,42,24,0,1233
Lennox Head - Skennars Head,0,13,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,3,0,4,8,5,63,6,129,0,0,0,0,0,0,0,4,0,13,71,75,5,0,52,172,0,5,0,0,0,0,9,0,0,0,6,0,0,0,3,7,5,0,10,12,12,0,9,41,0,129,18,0,11,43,0,15,0,6,4,210,5,30,0,0,84,0,42,0,3,12,18,0,0,6,35,0,46,29,0,1509
Mullumbimby,3,150,0,0,5,16,0,0,0,0,0,0,7,48,0,5,13,0,4,0,18,0,0,8,7,0,0,10,0,0,0,5,3,8,58,7,113,7,21,8,4,20,21,0,11,15,7,151,160,3,5,43,179,4,69,0,0,0,0,24,5,17,6,23,8,0,0,4,4,0,5,22,0,7,0,9,35,4,156,35,0,31,56,0,163,0,8,17,287,13,67,7,3,162,49,77,6,5,60,17,0,0,79,60,0,134,45,0,2916
Casino,3,124,0,33,0,19,0,0,0,3,0,0,15,889,0,39,51,0,3,7,0,3,0,0,3,3,5,6,0,22,0,7,0,10,35,15,95,0,39,8,0,26,4,12,23,32,31,193,192,0,0,30,300,9,118,20,3,3,0,47,0,4,4,4,0,0,0,16,0,11,0,37,14,6,0,10,39,0,124,3,0,33,79,0,243,0,47,3,440,21,21,13,116,141,226,164,0,0,3,33,30,0,93,75,0,123,61,0,4714
Casino Region,5,521,0,26,0,21,5,0,0,3,25,0,12,82,0,0,55,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,15,15,89,0,9,0,0,0,0,0,4,0,0,20,20,3,0,3,21,3,36,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,5,0,7,22,0,20,0,10,0,112,0,6,5,11,14,52,10,0,3,3,5,0,0,9,14,0,35,32,0,1430
Goonellabah,0,18,0,0,0,0,0,0,0,0,0,0,8,15,15,5,12,0,7,0,0,0,0,0,9,0,5,4,0,0,0,0,4,0,39,20,109,0,3,0,0,14,3,0,0,0,11,164,93,3,0,5,165,3,21,0,0,0,0,26,0,4,0,42,0,21,0,5,0,12,0,3,5,16,0,16,5,0,46,26,0,49,80,0,266,0,53,0,266,10,23,6,24,142,240,217,0,0,0,44,4,0,38,103,0,58,27,0,2643
Kyogle,3,343,0,8,0,14,0,0,0,4,0,0,4,42,0,6,66,0,4,0,0,4,3,10,4,0,4,10,0,14,0,4,3,13,29,30,103,0,16,12,36,3,3,0,9,56,16,94,99,0,0,13,92,5,32,0,0,0,0,18,0,4,0,0,3,0,0,4,0,0,0,15,4,7,0,0,18,0,74,13,0,18,31,0,92,0,12,0,257,4,11,11,61,66,49,50,0,13,8,5,0,0,41,29,0,64,43,0,2257
Lismore,0,88,0,4,0,38,0,0,8,0,3,0,22,324,0,13,33,0,21,0,15,5,27,43,52,17,38,23,0,52,8,44,56,20,130,52,395,3,57,67,42,85,42,5,47,314,62,488,1126,10,0,109,888,14,296,0,5,9,0,94,23,6,0,21,14,16,0,43,0,13,4,206,74,77,0,44,160,8,625,24,0,200,144,0,580,23,236,30,879,901,91,71,1768,856,226,812,0,10,38,65,0,0,332,272,0,325,171,0,14698
Lismore Region,5,816,0,5,4,60,0,0,0,0,12,0,9,239,3,6,40,0,8,0,5,3,13,3,5,4,0,3,0,0,0,3,0,4,58,16,138,0,15,3,5,8,6,0,14,6,7,57,78,6,0,25,103,3,50,0,0,4,0,7,0,3,0,4,9,5,0,5,0,8,0,4,3,6,0,0,23,0,107,25,0,17,51,0,23,0,10,3,218,9,15,10,33,47,17,87,0,0,34,4,0,0,37,32,0,97,48,0,2879
Kingscliff - Fingal Head,5,89,20,0,4,0,0,0,3,5,9,0,12,22,0,3,4,0,0,0,5,0,11,8,7,12,3,17,0,0,3,15,97,32,147,35,252,0,10,5,5,12,10,0,19,0,39,198,115,7,3,241,574,4,25,0,3,3,0,10,0,0,0,0,8,0,0,3,5,0,0,21,15,25,0,3,108,0,240,45,0,63,69,0,59,0,22,11,264,160,49,12,11,143,162,108,0,4,15,53,0,0,24,114,3,117,47,0,4082
Murwillumbah,0,42,0,0,0,13,0,0,0,0,0,0,27,98,25,3,48,0,13,0,3,10,14,18,14,27,9,4,0,13,0,15,5,15,59,46,148,9,54,7,19,10,11,0,16,50,18,259,209,0,0,20,278,26,150,0,0,0,0,39,0,12,0,7,0,0,0,0,0,5,3,70,17,8,0,10,60,0,179,13,0,100,70,3,527,0,101,11,447,26,36,8,237,186,168,101,0,16,15,31,0,0,119,76,0,152,80,0,4769
Murwillumbah Region,7,334,0,5,0,19,0,0,0,0,8,0,4,103,6,5,15,0,5,0,0,0,0,3,5,3,6,9,0,15,0,0,0,6,39,8,120,0,5,0,10,0,5,0,4,0,6,44,24,3,0,61,101,4,56,0,0,0,0,8,0,0,0,0,6,0,0,9,0,0,0,7,0,3,0,4,6,0,94,13,0,24,37,0,16,0,7,5,119,7,35,4,0,29,10,27,0,5,16,35,0,0,15,30,0,89,26,0,1748
Pottsville,0,168,0,0,0,4,0,0,0,5,5,0,3,25,0,4,4,0,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,9,55,17,136,0,12,3,0,3,0,0,7,0,17,148,60,0,3,115,211,3,65,0,0,0,0,12,0,0,0,4,6,0,0,0,0,0,5,11,0,11,0,4,65,0,140,14,0,44,56,0,17,0,3,4,154,10,27,0,5,104,178,78,0,8,15,25,0,0,25,55,0,81,26,0,2304
Tweed Heads,0,73,0,0,9,9,0,0,0,0,0,0,4,33,0,13,3,0,17,0,0,0,6,3,0,4,3,39,0,3,0,14,4,12,96,17,258,4,15,4,0,60,8,5,25,106,24,247,331,7,0,136,661,8,256,0,3,0,16,19,36,8,0,13,6,0,0,22,7,8,3,22,11,49,3,27,161,0,258,32,0,74,117,0,193,0,169,7,154,28,47,43,1191,483,366,309,5,9,24,42,23,0,78,174,0,178,96,0,7043
Banora Point,0,8,0,0,4,0,0,0,0,0,0,0,3,16,0,9,0,0,0,0,4,0,3,6,0,0,3,0,0,0,0,0,4,3,46,10,118,0,3,4,0,3,3,5,0,18,8,150,246,6,0,3,111,0,20,0,0,0,4,8,0,5,0,4,0,8,0,6,0,0,0,8,3,11,0,4,51,0,63,13,0,22,37,0,10,0,10,9,378,13,33,3,6,44,286,114,0,0,3,8,0,0,20,62,0,58,32,0,2164
Terranora - North Tumblegum,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,20,3,41,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,5,0,30,6,0,7,16,0,3,0,0,0,140,9,14,0,0,10,3,43,0,0,0,0,0,0,5,9,0,14,5,0,500
Tweed Heads South,0,3,0,0,5,0,0,0,0,0,0,0,27,24,5,24,23,0,12,0,0,5,31,23,19,13,20,57,0,53,0,7,0,23,181,21,281,4,23,22,21,15,34,0,38,149,17,338,791,0,5,59,418,6,60,0,0,0,0,60,0,20,0,17,21,8,0,9,5,0,0,67,14,17,0,12,47,0,150,5,0,160,82,0,422,7,33,3,248,0,36,6,8,233,153,176,0,0,4,70,3,0,219,126,0,171,75,0,5558
Griffith (NSW),8,298,0,0,0,58,0,0,0,0,3,0,44,190,139,7,7,19,21,0,6,3,25,53,43,23,111,18,0,8,3,25,9,18,126,76,326,7,68,109,24,19,4,21,44,145,42,417,777,4,0,89,501,15,162,4,0,5,0,49,50,14,0,13,16,16,0,22,7,5,5,126,18,34,0,40,78,0,361,32,0,96,119,0,381,0,137,8,590,54,33,17,331,342,355,301,0,11,6,43,0,3,253,198,0,277,113,0,8703
Griffith Region,35,2000,4,0,0,190,0,0,0,0,3,0,9,969,799,11,3,0,0,0,7,0,0,10,8,0,11,0,0,51,0,115,8,15,36,54,122,0,32,8,0,27,0,9,5,7,29,67,44,6,0,24,119,15,112,0,0,4,3,17,7,16,0,0,5,0,0,6,0,0,4,20,3,9,0,0,6,0,45,6,0,59,111,0,104,0,10,5,244,6,6,3,19,27,40,32,0,13,3,3,0,0,65,19,0,182,82,0,6128
Leeton,7,339,0,0,0,25,9,0,0,5,34,0,26,699,20,10,5,0,0,0,0,4,8,15,22,0,42,4,0,54,0,70,13,14,41,22,142,8,28,25,9,20,23,0,18,32,15,159,152,0,0,20,200,13,127,0,0,0,0,24,0,16,0,3,4,0,0,6,0,0,0,35,6,8,0,3,27,0,118,18,0,30,79,0,194,0,19,14,448,28,24,7,79,104,75,63,0,3,0,13,0,0,91,47,0,129,58,0,4244
Narrandera,3,468,4,0,0,10,0,0,0,0,4,0,4,55,0,0,37,0,0,0,0,0,0,6,12,0,3,3,0,0,0,9,0,3,33,57,64,0,21,14,3,4,0,4,5,7,19,82,58,0,0,33,96,4,56,0,0,0,0,17,0,14,0,5,0,0,0,0,0,0,0,14,9,4,0,0,15,0,27,0,0,13,26,0,118,3,35,0,160,13,5,0,52,54,85,54,0,8,8,5,0,0,30,37,0,53,39,0,2129
Tumbarumba,4,332,0,37,0,10,0,0,0,0,4,0,0,7,5,4,189,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,5,4,5,7,46,0,3,0,0,5,0,0,7,4,8,52,35,0,0,35,71,7,46,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,0,14,0,0,20,22,0,87,0,42,0,73,0,4,4,30,26,0,9,0,9,0,5,0,0,16,4,0,29,19,0,1463
